120.602437595,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79a4a5,0x7d79a48d,10,2147483647,28960,1,29312
120.833464286,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79e2dd,0x7d79a4a5,1,5,29056,1,29312
120.845270964,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79e2dd,0x7d79aa4d,10,2147483647,31872,8,29312
120.857121493,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79e2dd,0x7d79aff5,11,2147483647,34816,14,29312
120.869216628,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79f97d,0x7d79b59d,12,2147483647,37760,21,29312
120.881433795,10.10.1.2:32882,10.10.2.2:5001,32,0x7d79f97d,0x7d79bb45,13,2147483647,40576,26,29312
120.893110761,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a101d,0x7d79c0ed,14,2147483647,43520,32,29312
120.905261871,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a15c5,0x7d79c695,15,2147483647,46336,37,29312
120.917358111,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a26bd,0x7d79cc3d,16,2147483647,49280,42,29312
120.929243615,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a320d,0x7d79d1e5,17,2147483647,52224,46,29312
120.941166506,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a3d5d,0x7d79d78d,18,2147483647,55040,51,29312
121.012981194,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a48ad,0x7d79dd35,19,2147483647,57984,55,29312
121.432948645,10.10.1.2:32882,10.10.2.2:5001,44,0x7d7a4e55,0x7d79e2dd,20,2147483647,60928,61,29312
121.468805622,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a53fd,0x7d79e2dd,20,2147483647,60928,61,29312
121.480919749,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a5f4d,0x7d79e885,21,2147483647,63744,72,29312
121.492746998,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a6a9d,0x7d79ee2d,22,2147483647,66688,83,29312
121.504914868,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a75ed,0x7d79f3d5,23,2147483647,69504,92,29312
121.516772961,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a813d,0x7d79f97d,24,2147483647,72448,101,29312
121.528837184,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a86e5,0x7d79ff25,25,2147483647,75392,108,29312
121.540939643,10.10.1.2:32882,10.10.2.2:5001,32,0x7d7a97dd,0x7d7a04cd,26,2147483647,78208,115,29312
